ZONA;NOM_LOCALIDADE;NOM_LOCAL;ENDEREÇO_LOCAL;BAIRRO_LOCAL;CEP;NÚMERO DAS SEÇÕES;QTDE. DE SEÇÕES;APTOS
155;FEIRA DE SANTANA;ESCOLA ECILDA RAMOS DE SOUZA;RUA ADENIL FALCAO S/N - ZONA URBANA;BRASÍLIA;44075970;136,137,138,139,172,199;6;2399
155;FEIRA DE SANTANA;ESCOLA DE 1. GRAU ERALDO TINOCO;RUA SENADOR QUINTINO S/N - ZONA URBANA;EUCALIPTO;44075970;140,144,148;3;949
155;FEIRA DE SANTANA;ESCOLA REITOR EDGAR SANTOS;CONJUNTO JOAO MARINHO FALCAO - ZONA URBANA;JOMAFA;44075970;149,151,153,155,157,210;6;1959
155;FEIRA DE SANTANA;ESCOLA DE 1. GRAU GENERAL SAMPAIO;AVENIDA DOUOTOR EDUARDO FROES DA MOTA  S/N - ZONA URBANA;35 BI;44065240;182,200,207;3;712
155;FEIRA DE SANTANA;ESCOLA MUNICIPAL PROFESSORA MARIA DANTAS CARNEIRO;RUA SAO VALENTIM, N 41 - ZONA URBANA;CASEB;44040700;69,70,71,72,190;5;1250
155;FEIRA DE SANTANA;COLÉGIO ROTARY DE FEIRA DE SANTANA;RUA JOÃO SAMPAIO MACHADO, N 235 - ZONA URBANA;CAPUCHINHOS;44052200;101,185,195,202,209,217;6;2260
155;FEIRA DE SANTANA;INTERNAÇÃO - CASE - ZILDA ARNS;RUA TOBIAS BARRETO, S/N - ZONA URBANA;S. I. M.;44100000;800;1;33
155;FEIRA DE SANTANA;COLÉGIO ESTADUAL DR. EDUARDO FRαES DA MOTA;RUA DR JOÃO MANGABEIRA, S/N - ZONA URBANA;SERRARIA BRASIL;44003192;219,220,221,222,223,224;6;1834
155;FEIRA DE SANTANA;COLÉGIO ESTADUAL GENERAL OSαRIO;RUA CASTRO ALVES, S/N - ZONA URBANA;SERRARIA BRASIL;44003198;225,226,227,228,229,230,231,232,233,234,235,236,237,238;14;3484
155;FEIRA DE SANTANA;COLÉGIO ESTADUAL DURVALINA CARNEIRO;RUA VALENTIM ALVES CERQUEIRA, S/N - ZONA URBANA;SANTO ANTΓNIO DOS PRAZERES;44026000;239,240,241,242,243,244,245,246,247,248,249;11;4644
155;FEIRA DE SANTANA;ESCOLA MUNICIPAL SÃO FRANCISCO DE ASSIS;FAZENDA REGISTRO - ZONA RURAL;DISTRITO DE JAÍBA;44115000;250,251;2;820
155;FEIRA DE SANTANA;ESCOLA MUNICIPAL AMBRαSIO BISPO;FAZENDA RETIRO - ZONA RURAL;DISTRITO DE JAÍBA;44115000;254,255;2;775
155;FEIRA DE SANTANA;ESCOLA MUNICIPAL XV DE NOVEMBRO;RUA MARTINIANO FREIRA, S/N, SEDE - ZONA RURAL;DISTRITO DE JAÍBA;44115000;256,257,258,259,260,261,262,263,264,265;10;2477
155;FEIRA DE SANTANA;ESCOLA POLIVALENTE DE FEIRA DE SANTANA;AV. JOÃO DURVAL CARNEIRO, S/N - ZONA URBANA;BRASÍLIA;44088126;266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282;17;3744
155;FEIRA DE SANTANA;ESCOLA MUNICIPAL DA AMIZADE;BR 324, KM 100, PQ. DE EXPOSIÇÕES - POVO TANQUINHO - ZONA RURAL;DISTRITO DE HUMILDES;44135000;283,284,285;3;1205
155;FEIRA DE SANTANA;ESCOLA MUNICIPAL MARIA ANTONIA DA COSTA;RUA RIO MADEIRA, 171 - ZONA URBANA;SANTA MONICA;44077828;288,290,293,294,298;5;2028
155;FEIRA DE SANTANA;ESCOLA AMÉLIA DOURADO NEVES;RUA OURO AZUL, 144 - ZONA URBANA;LAGOA SALGADA;44082194;296;1;287
155;FEIRA DE SANTANA;PRÉ-ESCOLA MUNICIPAL ALDA MARQUES;RUA BRUXELAS - ZONA URBANA;SANTA MONICA;44055470;295,301;2;478
155;FEIRA DE SANTANA;FAT - FACULDADE ANÍSIO TEIXEIRA;RUA BRIGADEIRO EDUARDO GOMES, 389 - PONTO CENTRAL - ZONA URBANA;CAPUCHINHOS;44075495;128,129,130,131,132,133,134,135,179,187,198,299,872;13;3776
155;FEIRA DE SANTANA;UNEX;AVENIDA ARTÊMIA PIRES FREITAS, S/N - ZONA URBANA;S. I. M.;44085370;205,213,215,286,289,292,300,302,303,801,871,873;12;4341
155;FEIRA DE SANTANA;ESCOLA MUNICIPAL ADELICE CAVALVANTE;RUA IPAUMIRIM, N. 205 - ZONA URBANA;S. I. M.;44086480;874,876;2;708
